Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Kolkata,West Bengal,India",01/22/2022,16.0,23.1,19.8,17.8,88.23,,8.1,,42.65,,1.0,4.17,,1.0,71.3,1009.6,"Mist, Fog, Light Rain, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Partially cloudy"
"Kolkata,West Bengal,India",01/23/2022,17.0,22.1,19.2,17.7,91.53,,8.1,,71.67,,4.88,12.5,,0.7,79.3,1010.4,"Mist, Rain, Fog, Light Rain, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Overcast"
"Kolkata,West Bengal,India",01/24/2022,16.9,22.0,18.8,16.3,86.01,,5.8,,37.13,,0.0,0.0,,1.3,80.0,1010.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Overcast
"Kolkata,West Bengal,India",01/25/2022,16.0,25.0,20.8,18.4,87.04,,6.9,,106.33,,0.0,0.0,,1.1,61.5,1011.1,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",01/26/2022,17.0,24.8,20.7,17.4,82.1,,8.1,,271.91,,0.01,4.17,,1.1,41.4,1011.9,"Mist, Fog, Light Rain, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Partially cloudy"
"Kolkata,West Bengal,India",01/27/2022,16.3,23.0,19.6,14.6,74.88,,11.4,,242.41,,0.0,0.0,,1.4,16.4,1013.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/28/2022,13.0,21.0,16.9,10.5,67.58,,12.8,,182.54,,0.0,0.0,,1.7,30.5,1015.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",01/29/2022,12.0,21.1,16.6,10.6,70.36,,11.4,,210.65,,0.0,0.0,,1.6,0.6,1015.1,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/30/2022,12.0,23.0,17.7,11.0,67.79,,6.9,,152.39,,0.0,0.0,,1.5,3.3,1012.3,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/31/2022,14.0,26.0,19.9,15.5,77.41,,6.9,,109.71,,0.0,0.0,,1.4,14.9,1011.2,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/01/2022,16.0,27.0,21.1,15.7,74.13,27.9,9.2,,172.91,,0.0,0.0,,1.5,24.3,1009.4,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/02/2022,17.0,27.7,21.9,16.6,74.9,27.9,6.9,,83.74,,0.0,0.0,,1.4,26.7,1011.6,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/03/2022,18.0,27.2,22.8,19.6,83.19,28.8,11.4,,139.96,,0.0,0.0,,1.3,57.4,1011.3,"Mist, Fog, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/04/2022,17.0,24.0,19.4,18.1,92.29,,12.8,,129.13,,27.57,12.5,,1.5,77.5,1009.1,"Mist, Light Drizzle, Thunderstorm, Rain, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Overcast"
"Kolkata,West Bengal,India",02/05/2022,16.3,23.0,19.4,14.0,74.17,,11.4,,175.41,,0.0,0.0,,1.9,47.3,1011.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/06/2022,13.0,23.0,18.1,12.0,69.76,,8.1,,202.48,,0.0,0.0,,2.0,3.8,1015.4,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/07/2022,14.3,25.0,19.0,14.1,75.23,,6.9,,127.21,,0.0,0.0,,1.6,5.4,1014.8,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/08/2022,14.0,26.0,20.2,16.0,78.29,,6.9,,70.0,,0.0,0.0,,1.3,20.8,1013.7,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/09/2022,16.9,26.1,21.4,18.0,82.56,,8.1,,79.29,,0.0,0.0,,1.3,41.2,1014.0,"Mist, Fog, Sky Coverage Decreasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/10/2022,17.0,22.8,20.4,18.8,90.65,,5.8,,33.57,,0.16,4.17,,1.0,69.7,1013.2,"Mist, Fog, Light Rain, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Partially cloudy"
"Kolkata,West Bengal,India",02/11/2022,17.2,24.0,20.1,16.6,81.92,,11.4,,189.59,,0.0,0.0,,1.0,50.2,1013.5,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/12/2022,14.9,24.0,19.3,11.8,65.14,,11.4,,156.67,,0.0,0.0,,1.9,0.0,1013.8,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/13/2022,14.8,25.0,19.5,12.1,64.76,,12.8,,268.96,,0.0,0.0,,2.0,4.4,1012.4,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/14/2022,14.0,25.3,20.0,11.2,61.57,,11.4,,202.29,,0.0,0.0,,2.1,4.0,1012.0,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/15/2022,14.6,26.0,20.0,12.3,65.15,,8.1,,171.38,,0.0,0.0,,1.6,0.0,1011.2,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/16/2022,15.0,26.0,20.5,13.2,65.09,,10.3,,142.25,,0.0,0.0,,1.8,2.4,1009.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/17/2022,17.0,27.0,21.7,14.6,66.17,27.3,8.1,,169.42,,0.0,0.0,,1.8,4.3,1009.4,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/18/2022,17.0,27.0,21.9,13.5,62.46,26.7,11.4,,86.68,,0.0,0.0,,1.9,0.6,1011.2,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/19/2022,16.0,28.0,22.0,13.0,60.8,27.3,9.2,,126.26,,0.0,0.0,,1.7,4.7,1011.4,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/20/2022,17.0,27.0,22.5,19.3,82.42,29.6,11.4,,134.13,,0.0,0.0,,1.3,64.9,1007.7,"Mist, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/21/2022,17.0,29.0,22.6,14.5,66.84,27.7,6.9,,125.04,,0.0,0.0,,1.5,36.7,1008.3,"Mist, Fog, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/22/2022,17.0,28.1,23.4,18.6,75.69,29.3,8.1,,143.88,,0.0,0.0,,1.7,39.9,1012.6,"Mist, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/23/2022,19.0,29.0,23.7,18.8,75.93,31.4,6.9,,152.83,,0.0,0.0,,1.2,22.8,1015.2,"Mist, Fog, Sky Coverage Decreasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/24/2022,19.0,29.2,24.3,20.8,81.66,32.7,11.4,,158.13,,0.0,0.0,,1.5,39.6,1014.9,"Mist, Fog, Sky Coverage Decreasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",02/25/2022,20.3,26.0,22.7,18.8,79.91,,12.8,,137.67,,0.98,8.33,,1.6,67.4,1014.9,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Light Rain, Sky Coverage Decreasing, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Partially cloudy"
"Kolkata,West Bengal,India",02/26/2022,19.0,30.3,24.8,17.9,68.15,31.3,5.8,,89.58,,0.0,0.0,,1.8,22.9,1015.7,"Mist, Fog, Sky Coverage Increasing, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/27/2022,20.4,31.0,24.5,20.1,79.03,32.6,9.2,,134.55,,2.51,4.17,,1.4,40.3,1014.5,"Mist, Thunderstorm, Thunderstorm Without Precipitation, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,"Rain, Partially cloudy"
"Kolkata,West Bengal,India",02/28/2022,20.9,30.4,25.3,19.2,71.13,31.6,10.3,,206.9,,0.0,0.0,,1.8,19.9,1013.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
