Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"Kolkata,West Bengal,India",01/01/2021,13.0,25.0,18.6,11.7,65.61,,6.9,,204.83,,0.0,0.0,0.0,1.8,0.0,1016.2,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/02/2021,14.4,25.0,19.0,11.7,65.34,,5.8,,100.08,,0.0,0.0,0.0,1.7,0.0,1015.6,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/03/2021,13.0,26.1,19.2,13.0,69.17,,4.7,,48.7,,0.0,0.0,0.0,1.7,0.0,1014.1,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/04/2021,15.3,28.0,21.0,14.4,68.83,28.0,9.2,,106.41,,0.0,0.0,0.0,1.6,2.2,1014.7,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/05/2021,16.0,28.1,21.9,15.3,68.74,28.0,5.8,,142.86,,0.0,0.0,0.0,1.8,0.1,1014.6,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/06/2021,16.8,29.2,22.7,16.2,69.08,29.6,5.8,,57.3,,0.0,0.0,0.0,1.7,0.0,1012.4,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/07/2021,19.6,31.0,24.6,17.2,66.06,31.0,4.7,,121.95,,0.0,0.0,0.0,1.7,8.8,1011.5,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/08/2021,19.0,29.0,23.8,17.0,67.56,29.1,9.2,,126.26,,0.0,0.0,0.0,1.7,22.7,1011.9,"Mist, Fog, Sky Unchanged, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/09/2021,20.0,28.4,23.6,16.8,66.58,28.7,4.7,,103.54,,0.0,0.0,0.0,1.9,12.0,1011.8,Smoke Or Haze,22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/10/2021,20.3,29.4,24.7,17.6,66.89,29.4,6.9,,152.41,,0.0,0.0,0.0,1.8,0.0,1011.7,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/11/2021,20.0,28.1,23.8,18.6,73.4,29.6,6.9,,145.13,,0.0,0.0,0.0,1.6,15.2,1013.0,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/12/2021,17.0,26.1,21.5,16.5,74.42,,6.9,,121.42,,0.0,0.0,0.0,1.6,0.0,1013.8,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/13/2021,16.0,22.6,19.1,14.0,73.21,,10.3,,67.54,,0.0,0.0,0.0,1.5,17.9,1014.5,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/14/2021,15.0,24.1,19.4,13.9,70.99,,4.7,,60.17,,0.0,0.0,0.0,1.4,14.4,1014.1,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/15/2021,14.0,23.9,18.5,13.1,72.04,,4.7,,61.86,,0.0,0.0,0.0,1.4,0.0,1012.7,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/16/2021,14.0,23.1,17.6,13.6,78.18,,6.9,,103.33,,0.0,0.0,0.0,1.2,0.0,1012.0,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/17/2021,13.0,23.1,17.6,13.3,77.46,,6.9,,186.92,,0.0,0.0,0.0,1.0,1.3,1015.2,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/18/2021,13.0,24.0,18.3,14.2,78.72,,3.4,,53.55,,0.0,0.0,0.0,1.1,0.0,1014.6,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/19/2021,14.0,25.4,19.6,16.0,81.27,,4.7,,79.79,,0.0,0.0,0.0,1.0,9.0,1012.3,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/20/2021,18.0,27.0,22.0,18.8,83.13,28.2,10.3,,142.08,,0.0,0.0,0.0,1.2,30.1,1011.3,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",01/21/2021,16.0,27.0,20.6,12.8,65.14,26.3,5.8,,134.54,,0.0,0.0,0.0,1.4,2.1,1012.7,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/22/2021,15.0,25.0,19.7,12.6,66.42,,5.8,,107.0,,0.0,0.0,0.0,1.7,0.0,1013.8,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/23/2021,14.0,23.0,17.7,13.8,79.11,,5.8,,135.78,,0.0,0.0,0.0,1.2,7.0,1013.5,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/24/2021,13.0,25.6,18.8,15.0,79.97,,3.4,,25.35,,0.0,0.0,0.0,1.0,8.8,1013.8,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/25/2021,16.0,26.0,20.7,16.5,77.61,,4.7,,45.5,,0.0,0.0,0.0,1.1,41.4,1014.7,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Partially cloudy
"Kolkata,West Bengal,India",01/26/2021,15.0,22.5,18.2,14.9,81.94,,6.9,,137.5,,0.0,0.0,0.0,1.1,10.1,1015.0,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/27/2021,13.0,23.0,17.8,11.7,70.06,,10.3,,193.21,,0.0,0.0,0.0,1.6,0.0,1015.5,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/28/2021,12.0,24.0,17.4,10.8,68.52,,8.1,,161.5,,0.0,0.0,0.0,1.8,1.3,1016.0,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/29/2021,13.0,25.1,18.7,12.4,69.19,,5.8,,181.7,,0.0,0.0,0.0,1.6,23.0,1015.1,"Mist, Fog, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/30/2021,15.2,23.0,18.4,11.4,65.68,,6.9,,161.46,,0.0,0.0,0.0,1.3,23.7,1015.2,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",01/31/2021,11.0,23.0,17.0,10.2,66.55,,9.2,,119.78,,0.0,0.0,0.0,1.5,1.1,1017.1,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
"Kolkata,West Bengal,India",02/01/2021,12.0,23.0,17.1,9.3,63.1,,6.9,,114.13,,0.0,0.0,0.0,1.6,0.0,1018.0,"Mist, Smoke Or Haze",22.5705,88.3713,"Kolkata, WB, India","Kolkata, WB, India",,Clear
